"Rank","Root Domain","Linking Root Domains","Domain Authority"
"337","mozilla.com","196,617","93"
"338","variety.com","198,328","93"
"339","npr.org","596,081","93"
"340","spiegel.de","262,763","93"
"341","sputniknews.com","135,677","93"
"342","code.google.com","317,016","93"
"343","standard.co.uk","143,950","93"
"344","nypost.com","285,283","93"
"345","psychologytoday.com","271,287","93"
"346","sciencedaily.com","287,403","93"
"347","mashable.com","343,171","93"
"348","google.ca","292,222","93"
"349","googleblog.com","213,148","93"
"350","naver.com","427,519","93"
"351","weibo.com","1,477,592","93"
"352","bitly.com","344,497","93"
"353","sedo.com","2,592,540","93"
"354","box.com","231,367","93"
"355","ziddu.com","166,578","93"
"356","pbs.org","420,264","93"
"357","sciencemag.org","264,609","93"
"358","icann.org","442,342","93"
"359","dell.com","206,742","93"
"360","soundcloud.com","1,562,546","93"
"361","newyorker.com","317,523","93"
"362","xbox.com","144,446","93"
"363","google.pl","190,300","93"
"364","akamaihd.net","411,127","93"
"365","blackberry.com","134,054","93"
"366","huffpost.com","414,037","93"
"367","spotify.com","1,120,482","93"
"368","wiley.com","437,467","93"
"369","zendesk.com","449,030","93"
"370","cbc.ca","346,285","93"
"371","utexas.edu","230,342","93"
"372","wa.me","480,406","93"
"373","indiatimes.com","333,473","93"
"374","gizmodo.com","337,786","93"
"375","quora.com","305,389","93"
"376","nginx.com","473,487","93"
"377","greenpeace.org","153,145","92"
"378","sina.com.cn","1,090,527","92"
"379","narod.ru","267,305","92"
"380","csmonitor.com","167,524","92"
"381","iubenda.com","185,566","92"
"382","ndtv.com","150,572","92"
"383","searchenginejournal.com","267,816","92"
"384","doi.org","319,833","92"
"385","dribbble.com","396,710","92"
"386","behance.net","670,979","92"
"387","wiktionary.org","241,196","92"
"388","m.me","167,992","92"
"389","giphy.com","319,764","92"
"390","daum.net","156,157","92"
"391","about.me","278,456","92"
"392","house.gov","228,603","92"
"393","viagens.com.br","126,889","92"
"394","weforum.org","149,367","92"
"395","a8.net","421,563","92"
"396","thedailybeast.com","202,712","92"
"397","amazon.it","125,075","92"
"398","thehill.com","170,431","92"
"399","prnewswire.com","303,566","92"
"400","xing.com","404,299","92"
"401","rottentomatoes.com","194,204","92"
"402","zdnet.com","239,755","92"
"403","thestar.com","182,446","92"
"404","feedproxy.google.com","753,725","92"
"405","oecd.org","160,344","92"
"406","tabelog.com","139,492","92"
"407","answers.com","215,100","92"
"408","sakura.ne.jp","361,196","92"
"409","discovery.com","219,197","92"
"410","slate.com","305,261","92"
"411","amazon.in","135,383","92"
"412","dreniq.com","330,713","92"
"413","reverbnation.com","185,873","92"
"414","answers.yahoo.com","187,604","92"
"415","thefreedictionary.com","191,653","92"
"416","mystrikingly.com","264,508","92"
"417","steamcommunity.com","179,157","92"
"418","espn.go.com","223,885","92"
"419","zeit.de","126,783","92"
"420","cia.gov","134,163","92"
"421","adweek.com","162,859","92"
"422","ubuntu.com","180,533","92"
"423","stuff.co.nz","136,102","92"
"424","parallels.com","576,866","92"
"425","bp1.blogger.com","521,147","92"
"426","offset.com","823,797","92"
"427","imgur.com","1,119,595","92"
"428","psu.edu","267,394","92"
